City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Hermanus,ZA,2021-09-30 23:06:47,-34.4187,19.2345,60.91,81,77,9.08
67,Severodvinsk,RU,2021-09-30 23:10:29,64.5635,39.8302,46.51,94,99,5.86
68,Meulaboh,ID,2021-09-30 23:10:30,4.1363,96.1285,76.6,90,100,8.5
69,Altenholz,DE,2021-09-30 23:10:30,54.4,10.1333,51.82,76,90,11.5
70,Mangrol,IN,2021-09-30 23:10:30,21.1167,70.1167,80.35,87,100,13.98
71,Maromitsa,RU,2021-09-30 23:10:31,59.8683,48.0123,41.83,97,100,4.21
72,Kalininsk,RU,2021-09-30 23:10:31,51.5,44.4758,43.61,77,58,5.61
73,Szydlowiec,PL,2021-09-30 23:10:31,51.2282,20.8611,50.52,80,77,4.41
74,Tazovskiy,RU,2021-09-30 23:08:51,67.4667,78.7,32.11,95,100,18.03
75,Mitu,CO,2021-09-30 23:10:32,1.1983,-70.1733,76.51,81,99,2.28
76,Saint George,US,2021-09-30 23:10:32,37.1041,-113.5841,81.07,14,1,7.0
77,Kanashevo,RU,2021-09-30 23:10:33,55.2169,62.0634,39.76,75,80,14.09
78,Yangambi,CD,2021-09-30 23:10:33,0.8102,24.4336,69.51,95,100,1.5
79,Hamilton,US,2021-09-30 23:07:36,39.1834,-84.5333,74.75,65,1,0.0
80,Boa Vista,BR,2021-09-30 23:05:55,2.8197,-60.6733,85.98,58,75,6.91
81,Goderich,CA,2021-09-30 23:10:33,43.7501,-81.7165,59.92,71,4,9.19
82,Thunder Bay,CA,2021-09-30 23:10:34,48.4001,-89.3168,63.55,80,69,3.94
83,Sao Filipe,CV,2021-09-30 23:10:34,14.8961,-24.4956,79.59,77,88,6.11
84,Humenne,SK,2021-09-30 23:10:35,48.9371,21.9163,51.96,95,100,5.97
85,Terme,TR,2021-09-30 23:10:35,41.2092,36.9739,60.96,83,58,9.35
86,Riom,FR,2021-09-30 23:10:35,45.9167,2.9167,39.85,79,5,3.33
87,Lambare,PY,2021-09-30 23:10:35,-25.3468,-57.6065,92.79,40,75,0.0
88,Kuhdasht,IR,2021-09-30 23:10:36,33.535,47.6061,67.53,27,0,2.77
89,Bandarbeyla,SO,2021-09-30 23:10:36,9.4942,50.8122,79.14,81,99,22.01
90,Liverpool,GB,2021-09-30 23:09:53,53.4106,-2.9779,58.82,89,75,5.01
91,Sao Felix Do Xingu,BR,2021-09-30 23:10:37,-6.6447,-51.995,74.44,83,82,1.1
92,Kilrush,IE,2021-09-30 23:10:37,52.6397,-9.4833,56.95,86,100,24.47
93,Chelyabinsk,RU,2021-09-30 23:07:35,55.1544,61.4297,39.29,75,40,11.18
94,Trinidad,BO,2021-09-30 23:10:38,-14.8333,-64.9,87.78,58,73,0.0
95,Sur,OM,2021-09-30 23:10:26,22.5667,59.5289,87.71,60,100,5.61
96,Pangody,RU,2021-09-30 23:10:39,65.85,74.4859,32.81,92,97,17.18
97,Nanortalik,GL,2021-09-30 23:10:39,60.1432,-45.2371,37.71,62,0,8.79
98,Richards Bay,ZA,2021-09-30 23:07:07,-28.783,32.0377,66.36,88,100,8.88
99,Touros,BR,2021-09-30 23:07:03,-5.1989,-35.4608,77.9,80,3,15.19
100,Santo Antonio Do Taua,BR,2021-09-30 23:10:39,-1.1519,-48.1294,80.55,95,78,4.05
101,East London,ZA,2021-09-30 23:07:03,-33.0153,27.9116,62.87,91,36,3.96
102,Uray,RU,2021-09-30 23:10:40,60.1247,64.7758,36.59,69,100,11.77
103,Plouzane,FR,2021-09-30 23:10:40,48.3833,-4.6167,60.98,94,90,19.57
104,Hambantota,LK,2021-09-30 23:10:41,6.1241,81.1185,79.48,78,99,6.91
105,Ostersund,SE,2021-09-30 23:10:41,63.1792,14.6357,45.61,93,90,11.5
106,Giroc,RO,2021-09-30 23:10:41,45.6942,21.2358,57.38,100,90,4.61
107,Salihorsk,BY,2021-09-30 23:10:42,52.7876,27.5415,40.95,82,12,7.87
108,Iqaluit,CA,2021-09-30 23:10:42,63.7506,-68.5145,28.13,100,90,2.3
109,Ponta Do Sol,PT,2021-09-30 23:10:43,32.6667,-17.1,72.72,72,11,8.28
110,Praia,CV,2021-09-30 23:10:43,14.9215,-23.5087,79.34,83,20,10.36
111,Salalah,OM,2021-09-30 23:10:44,17.0151,54.0924,80.69,83,20,2.3
112,Chicama,PE,2021-09-30 23:10:44,-7.8447,-79.1469,59.54,76,96,8.93
113,Cavalcante,BR,2021-09-30 23:10:44,-13.7975,-47.4583,77.81,53,69,3.67
114,Marzuq,YE,2021-09-30 23:10:45,14.4,46.4667,76.14,46,98,4.74
115,Baie-Saint-Paul,CA,2021-09-30 23:10:45,47.4411,-70.4986,50.99,92,98,1.79
116,Bathsheba,BB,2021-09-30 23:10:45,13.2167,-59.5167,84.81,70,40,12.66
117,Los Llanos De Aridane,ES,2021-09-30 23:10:46,28.6585,-17.9182,71.35,84,90,17.27
118,Dwarka,IN,2021-09-30 23:10:46,22.2394,68.9678,81.18,86,100,19.26
119,Kamenka,RU,2021-09-30 23:10:47,51.3223,42.7678,41.74,73,55,5.39
120,Najran,SA,2021-09-30 23:10:47,17.4924,44.1277,72.54,15,62,1.68
121,Cururupu,BR,2021-09-30 23:07:02,-1.8283,-44.8683,75.56,89,85,3.18
122,Arraial Do Cabo,BR,2021-09-30 23:10:48,-22.9661,-42.0278,69.71,89,7,8.93
123,Ajdabiya,LY,2021-09-30 23:10:48,30.7554,20.2263,73.09,60,0,10.38
124,Carauari,BR,2021-09-30 23:10:48,-4.8828,-66.8958,73.6,97,99,4.59
125,Aksu,CN,2021-09-30 23:10:49,41.1231,80.2644,65.37,21,26,4.72
126,Moyale,KE,2021-09-30 23:10:49,3.5167,39.0584,68.7,72,98,7.9
127,Kemijarvi,FI,2021-09-30 23:10:49,66.7131,27.4306,43.68,86,100,5.06
128,Luderitz,NA,2021-09-30 23:10:50,-26.6481,15.1594,54.86,98,27,8.32
129,Itabaianinha,BR,2021-09-30 23:10:50,-11.2739,-37.79,70.86,90,9,7.96
130,La Palma,US,2021-09-30 23:10:50,33.8464,-118.0467,97.18,30,20,7.0
131,Clyde River,CA,2021-09-30 23:10:51,70.4692,-68.5914,33.94,73,100,4.14
132,Beni Mazar,EG,2021-09-30 23:10:51,28.4962,30.8029,74.1,61,0,15.61
133,Namibe,AO,2021-09-30 23:10:51,-15.1961,12.1522,60.28,84,9,5.5
134,Benguela,AO,2021-09-30 23:10:52,-12.5763,13.4055,71.01,80,83,5.91
135,Acarau,BR,2021-09-30 23:10:52,-2.8856,-40.12,79.14,84,58,9.6
136,Mola Di Bari,IT,2021-09-30 23:10:53,41.0609,17.0873,71.89,79,0,11.92
137,Taoudenni,ML,2021-09-30 23:10:53,22.6783,-3.9836,92.86,9,54,9.4
138,Castro,BR,2021-09-30 23:06:51,-24.7911,-50.0119,63.01,77,48,10.49
139,Luau,AO,2021-09-30 23:10:53,-10.7073,22.2247,67.78,82,100,2.73
140,Dekernes,EG,2021-09-30 23:10:54,31.0876,31.595,68.11,85,0,5.53
141,Balkhash,KZ,2021-09-30 23:10:54,46.844,74.9804,43.05,62,46,12.64
142,Zemio,CF,2021-09-30 23:10:54,5.0314,25.1361,68.92,98,100,2.42
143,Paamiut,GL,2021-09-30 23:09:11,61.994,-49.6678,36.68,64,0,17.63
144,Misratah,LY,2021-09-30 23:10:55,32.3754,15.0925,77.27,61,0,10.63
145,Xuddur,SO,2021-09-30 23:10:55,4.1213,43.8894,72.46,76,84,11.97
146,Pallasovka,RU,2021-09-30 23:10:56,50.05,46.8833,47.05,50,94,0.94
147,Jumla,NP,2021-09-30 23:10:56,29.2747,82.1838,57.47,92,74,0.85
148,Mahibadhoo,MV,2021-09-30 23:10:56,3.7833,72.9667,82.11,70,99,9.6
149,Chuy,UY,2021-09-30 23:06:48,-33.6971,-53.4616,59.0,94,100,11.27
150,Pangnirtung,CA,2021-09-30 23:08:46,66.1451,-65.7125,35.82,43,81,2.82
151,Odienne,CI,2021-09-30 23:10:57,9.51,-7.5692,72.32,94,100,2.06
152,Waddan,LY,2021-09-30 23:10:57,29.1614,16.139,72.16,73,1,7.63
153,Saposoa,PE,2021-09-30 23:10:58,-6.934,-76.7716,86.61,71,72,1.16
154,Ibiapina,BR,2021-09-30 23:10:58,-3.9233,-40.8894,70.05,74,76,5.12
155,Margate,GB,2021-09-30 23:10:58,51.3813,1.3862,62.31,75,100,4.0
156,Roros,NO,2021-09-30 23:10:59,62.5747,11.3842,44.44,87,90,11.5
157,Ugoofaaru,MV,2021-09-30 23:10:59,5.6667,73.0,81.5,77,83,11.34
158,Sapele,NG,2021-09-30 23:06:04,5.8941,5.6767,75.4,96,100,4.0
159,Bonavista,CA,2021-09-30 23:11:00,48.6499,-53.1147,55.11,99,100,7.43
160,Kutahya,TR,2021-09-30 23:11:00,39.4242,29.9833,44.55,90,68,5.93
161,Cap Malheureux,MU,2021-09-30 23:07:12,-19.9842,57.6142,72.46,74,26,8.01
162,Kruisfontein,ZA,2021-09-30 23:06:45,-34.0033,24.7314,58.89,97,100,2.53
163,Saldanha,ZA,2021-09-30 23:11:01,-33.0117,17.9442,58.19,88,0,9.42
164,Chlorakas,CY,2021-09-30 23:11:01,34.8042,32.4083,70.68,84,0,5.75
165,Ouadda,CF,2021-09-30 23:11:02,8.0777,22.4007,69.6,84,89,1.21
